City,Province,Year,Make,Model,Price,Mileage,URL
Chateauguay,QC,2018,Honda,civic,20495,152000,facebook.com/marketplace/item/782820770216947/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2011,Honda,civic,6299,160000,facebook.com/marketplace/item/6039300379526638/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2014,Honda,civic,12995,134000,facebook.com/marketplace/item/614929997258918/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,14500,143000,facebook.com/marketplace/item/156699310721828/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,11850,114000,facebook.com/marketplace/item/981645992835434/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,9000,182000,facebook.com/marketplace/item/280285907729043/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Blainville,QC,2015,Honda,civic,13500,130000,facebook.com/marketplace/item/269041289030993/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2018,Honda,civic,19250,119000,facebook.com/marketplace/item/985854002435650/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2014,Honda,civic,9995,194000,facebook.com/marketplace/item/236712665739252/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2017,Honda,civic,16400,147000,facebook.com/marketplace/item/138741812549746/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal-Est,QC,2008,Honda,civic,6400,152000,facebook.com/marketplace/item/271376658737390/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2014,Honda,civic,16500,90000,facebook.com/marketplace/item/1360207217861400/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2012,Honda,civic,9200,167000,facebook.com/marketplace/item/9486141031458743/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2014,Honda,civic,16888,101000,facebook.com/marketplace/item/961553221648511/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2005,Honda,civic,5299,106000,facebook.com/marketplace/item/1849854485411327/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2016,Honda,civic,16000,149000,facebook.com/marketplace/item/224199930389121/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ste-Sophie,QC,2007,Honda,civic,5500,140000,facebook.com/marketplace/item/283842710753448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,12995,119000,facebook.com/marketplace/item/6510208645684966/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Terrasse-Vaudreuil,QC,2014,Honda,civic,15800,99000,facebook.com/marketplace/item/1197042170959484/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Terrebonne,QC,2013,Honda,civic,11795,123000,facebook.com/marketplace/item/698633742022741/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,15995,88000,facebook.com/marketplace/item/1445891049586235/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2002,Honda,civic,2500,180000,facebook.com/marketplace/item/1317643489102004/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,9995,169000,facebook.com/marketplace/item/1224638548185808/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Levis,QC,2008,Honda,civic,2150,119000,facebook.com/marketplace/item/967843801196371/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2017,Honda,civic,18000,78000,facebook.com/marketplace/item/109313038843410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2006,Honda,civic,3300,72000,facebook.com/marketplace/item/721882319743571/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Oakville,ON,2016,Honda,civic,17500,155000,facebook.com/marketplace/item/1437060813778536/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2012,Honda,civic,9800,165000,facebook.com/marketplace/item/2220449095011963/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2003,Honda,civic,1500,100000,facebook.com/marketplace/item/1201384724596434/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2013,Honda,civic,14500,167000,facebook.com/marketplace/item/579976004246395/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2006,Honda,civic,6500,115000,facebook.com/marketplace/item/225882566868871/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2008,Honda,civic,6500,180000,facebook.com/marketplace/item/826424438360745/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2015,Honda,civic,15500,91000,facebook.com/marketplace/item/946457323361353/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2007,Honda,civic,5900,171000,facebook.com/marketplace/item/789404532844626/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ajax,ON,2013,Honda,civic,10999,195000,facebook.com/marketplace/item/1048668346114790/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2009,Honda,civic,7000,183000,facebook.com/marketplace/item/280523291090607/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2017,Honda,civic,20000,146000,facebook.com/marketplace/item/206991895603668/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2012,Honda,civic,8999,190000,facebook.com/marketplace/item/252685850688831/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2006,Honda,civic,4500,180000,facebook.com/marketplace/item/794839702108401/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2010,Honda,civic,6000,180000,facebook.com/marketplace/item/564828659132307/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2012,Honda,civic,14999,91000,facebook.com/marketplace/item/1287672748834832/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2009,Honda,civic,3800,198000,facebook.com/marketplace/item/3551962301714217/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Vaughan,ON,2016,Honda,civic,14000,120000,facebook.com/marketplace/item/277731237983090/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2014,Honda,civic,12700,151000,facebook.com/marketplace/item/561664355906439/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2010,Honda,civic,7800,155000,facebook.com/marketplace/item/1498132630929822/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2003,Honda,civic,3800,167000,facebook.com/marketplace/item/2244286882440751/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2006,Honda,civic,4900,180000,facebook.com/marketplace/item/217587444460777/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2010,Honda,civic,4900,184000,facebook.com/marketplace/item/1215511238963956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2012,Honda,civic,8800,193000,facebook.com/marketplace/item/3518428195040552/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2007,Honda,civic,6500,161000,facebook.com/marketplace/item/570450688574917/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2018,Honda,civic,17000,100000,facebook.com/marketplace/item/790210899171829/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2012,Honda,civic,8500,199000,facebook.com/marketplace/item/3138413669795328/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2013,Honda,civic,12888,179000,facebook.com/marketplace/item/826889029310782/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2010,Honda,civic,9000,95000,facebook.com/marketplace/item/222533597229677/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2009,Honda,civic,6000,173000,facebook.com/marketplace/item/1680627829025485/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2009,Honda,civic,9699,156000,facebook.com/marketplace/item/1427355688064694/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2015,Honda,civic,14000,199000,facebook.com/marketplace/item/2026100267734555/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2016,Honda,civic,23000,68000,facebook.com/marketplace/item/173893178701204/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2013,Honda,civic,13000,125000,facebook.com/marketplace/item/1353233631902872/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
